"","Region","year","RptArea","Log_rfrel","Gui_nonpelrel","Gui_Yer","gui_pYEinNonpel","gui_var_pYEinNonpel","GuiYE","var_GuiYE","sqrt_GuiYE","GuiYE_UPRLWR95","blank","PRIV_rfrel","var_PRIV_rfrel","priv_pYE","priv_var_pYE","gui_pYE","var_gui_pYE","Priv_YE","var_PrivYE","sqrt_PrivYE","PrivYE_UPRLWR95","blank2","TotalYErel","var_totalYErel","sqrt_totalYE","TotalYE_UPRLWR95"
"309","SE",2018,"NSEO",1904,1468,484,NA,NA,484,0,0,0,NA,2143.61695244257,7364744.46096053,0.101910828,0.000194734,NA,NA,218.457778538259,78817.8743316029,280.74521248207,550.260616464858,NA,702.457778538259,78817.8743316029,280.74521248207,550.260616464858
"310","SE",2019,"NSEO",2929,2174,798,NA,NA,798,0,NA,NA,NA,1472.38213132401,2584682.05001785,0.0574712643678161,8.90926285193761e-05,NA,NA,84.6196627197704,8960.48666923123,94.6598471857589,185.533300484087,NA,882.61966271977,8960.48666923123,94.6598471857589,185.533300484087
"311","SE",2020,"NSEO",905,745,455,NA,NA,455,0,0,0,NA,835.79989154013,610822.333344612,0.188422099508234,0.0134885352322383,NA,NA,157.483170332746,39347.6260454702,198.362360455481,388.790226492743,NA,612.483170332746,39347.6260454702,198.362360455481,388.790226492743
"312","SE",2021,"NSEO",1844,1280,559,NA,NA,559,0,0,0,NA,2451.47919946031,3504073.34170633,0.188422099508234,0.0134885352322383,NA,NA,461.912857663076,252732.266851078,502.724842086681,985.340690489894,NA,1020.91285766308,252732.266851078,502.724842086681,985.340690489894
"313","SE",2022,"NSEO",2833,2369,1325,NA,NA,1325,0,0,0,NA,1656.48045178106,4381711.85886828,0.188422099508234,0.0125262830975685,NA,NA,312.117524518935,244821.199246079,494.794097828661,969.796431744176,NA,1637.11752451894,244821.199246079,494.794097828661,969.796431744176
"314","SE",1999,"SSEI",6832,2497,NA,0.264060525,0.002002844,659.359130925,12487.750365596,111.748603416759,219.027262696847,NA,12089.4871674675,29974833.1275917,0.220844581,0.001365163,NA,NA,2669.89772800425,1702389.30869038,1304.7564173785,2557.32257806186,NA,3329.25685892925,1714877.05905598,1309.53314545909,2566.68496509982
"315","SE",2000,"SSEI",9811,4406,NA,0.264060525,0.002002844,1163.45067315,38880.882105584,197.182357490684,386.477420681741,NA,17360.9424180363,61814108.4966732,0.220844581,0.001365163,NA,NA,3834.07005407635,3510667.6652054,1873.67757770791,3672.40805230751,NA,4997.52072722635,3549548.54731098,1884.02456122817,3692.6881400072
"316","SE",2001,"SSEI",8166,3755,NA,0.264060525,0.002002844,991.547271375,28240.1504711,168.048060003976,329.374197607793,NA,14450.0515529186,42823268.2972474,0.220844581,0.001365163,NA,NA,3191.21558063271,2432102.75106779,1559.52003868748,3056.65927582745,NA,4182.76285200771,2460342.90153889,1568.5480233448,3074.35412575581
"317","SE",2002,"SSEI",8332,3524,NA,0.264060525,0.002002844,930.5492901,24872.470430144,157.710083476435,309.111763613812,NA,14743.7949472101,44582003.4573982,0.220844581,0.001365163,NA,NA,3256.08721746654,2531988.27572489,1591.22225843057,3118.79562652392,NA,4186.63650756654,2556860.74615504,1599.01868224078,3134.07661719193
"318","SE",2003,"SSEI",8078,3456,NA,0.264060525,0.002002844,912.5931744,23921.840553984,154.666869606855,303.147064429437,NA,14294.3321631737,41905280.9154796,0.220844581,0.001365163,NA,NA,3156.82579725092,2379966.61747926,1542.71404267909,3023.71952365101,NA,4069.41897165092,2403888.45803324,1550.44782499549,3038.87773699116
