"SP","USER","YEAR","CFMU","n_fish","boats","mean_wt","sd_wt","bootstrap_sd"
142,"Private",2014,"PWSI",38,14,2.0909177248492,0.770964177791548,0.122315560922251
142,"Private",2014,"PWSO",196,20,2.23853011286559,0.743159502081459,0.0551081618689351
142,"Private",2015,"CI",46,21,1.95474387946171,0.703318444942976,0.106281447363615
142,"Private",2015,"NG",358,51,1.68465900388034,0.645698232641982,0.033281616690197
142,"Private",2015,"NORTHEAST",278,57,2.18342037192064,0.463452255971639,0.0280310032270673
142,"Private",2015,"PWSI",76,13,2.2602060353998,0.452885249361408,0.0493255557539732
142,"Private",2015,"PWSO",143,15,2.36890794363788,0.703202478857213,0.0585803673565281
142,"Private",2016,"CI",39,11,2.12738978474366,0.518146944563172,0.0785767285387517
142,"Private",2016,"NG",303,48,1.83161960010787,0.535369846340111,0.0308106480973054
142,"Private",2016,"NORTHEAST",266,50,2.28469221448118,0.487805388986442,0.0290730617991402
142,"Private",2016,"PWSI",19,7,2.12809312063726,0.47398880996457,0.105255976797587
142,"Private",2016,"PWSO",144,16,2.4134060867754,0.635132272079148,0.0513753901110617
142,"Private",2017,"CI",31,9,1.26120247191666,0.810350263025161,0.146184098190324
142,"Private",2017,"NG",144,24,2.0296228232022,0.595735913086832,0.0496073857623165
142,"Private",2017,"NORTHEAST",233,55,2.00194833444222,0.564879997897409,0.0367230716309548
142,"Private",2017,"PWSO",99,13,1.9650136569405,0.583508333446899,0.0590404879570186
142,"Private",2018,"CI",93,20,0.95273086421021,0.484604889467807,0.0510473334509096
142,"Private",2018,"NG",196,48,2.07770643211334,0.90883724393164,0.0657036610136991
142,"Private",2018,"NORTHEAST",226,55,1.84549042792546,0.679215979377861,0.0451220910113849
142,"Private",2018,"PWSI",71,14,2.31920868327598,0.558705380583129,0.0701374674415699
142,"Private",2018,"PWSO",86,12,2.25469147449562,0.574582960551022,0.0579260887584013
142,"Private",2019,"CI",164,21,1.04804621651879,0.429298867609413,0.0341760851381376
142,"Private",2019,"NG",188,32,1.76257173316872,0.753251747544921,0.0574991962352552
142,"Private",2019,"NORTHEAST",183,47,2.08915853298143,0.594277892831562,0.0436550524847319
142,"Private",2019,"PWSI",101,15,1.83861112202759,0.875573650171825,0.0877624417587781
142,"Private",2019,"PWSO",138,20,2.13244754483806,0.737363869855725,0.063480488594375
142,"Private",2020,"NG",72,20,1.75833333333333,0.737095556325589,0.086088007805903
142,"Private",2020,"PWSI",25,7,2.736,0.482078831727758,0.0932213155328204
142,"Private",2020,"PWSO",53,8,2.3377358490566,0.775397271650112,0.105110298970189
142,"Private",2021,"CI",48,11,1.40219966286128,0.362108396799501,0.0520149346549644
142,"Private",2021,"NG",120,23,1.65277340270207,0.71697805307568,0.0665336176089897
142,"Private",2021,"NORTHEAST",183,39,1.79084958600576,0.532277559237674,0.0387736260260557
142,"Private",2021,"PWSI",90,7,1.5154512404694,0.580371296788068,0.0598746974081247
142,"Private",2021,"PWSO",51,5,1.90434673604586,0.740209898172314,0.10148434018383
142,"Private",2022,"CI",46,14,1.91992595385501,0.428782870139462,0.0619579174175752
142,"Private",2022,"NG",231,30,1.46223136286104,0.529094434765478,0.0348847070440375
142,"Private",2022,"NORTHEAST",106,21,1.92583567898342,0.517123192549713,0.050109470210895
142,"Private",2022,"PWSI",31,9,1.91607314974493,0.440531201847323,0.0795911247820577
142,"Private",2022,"PWSO",70,6,1.80406463727808,0.707651912867791,0.084625293799549
142,"Private",2023,"CI",24,7,2.03804677551221,0.312727944465654,0.0622831262782277
142,"Private",2023,"NG",264,41,1.62267400531703,0.558667094204384,0.0330873702488175
142,"Private",2023,"NORTHEAST",149,34,1.92058564459757,0.472184114162824,0.0384609098237883
142,"Private",2023,"PWSI",136,22,1.99219804825086,0.439383002482692,0.0374756559213695
142,"Private",2023,"PWSO",97,12,2.20373235707129,0.62462892806051,0.0633111626164976
142,"Private",2024,"CI",23,6,1.69074410808919,0.363909085077659,0.0769927934154227
142,"Private",2024,"NG",207,32,1.75320143151262,0.527933343372033,0.0352982304567884
142,"Private",2024,"NORTHEAST",150,33,1.99524596449704,0.460226282319759,0.0383722734669709
142,"Private",2024,"PWSI",59,10,1.88495039853094,0.552995734795858,0.0670373102971613
142,"Private",2024,"PWSO",79,10,1.8467423794144,0.531327273338651,0.0571943846059611
142,"Private",2025,"AFOGNAK",26,5,2.42394258030676,0.375414295767693,0.0706043924954059
142,"Private",2025,"CI",42,11,2.15020230886539,0.745646299021189,0.114035819904785
142,"Private",2025,"NG",301,42,2.02912701190434,2.07171976792764,0.125505174108215
142,"Private",2025,"NORTHEAST",230,51,2.24862041254902,0.632862215254868,0.0427123488312748
142,"Private",2025,"PWSI",60,10,2.13385260748912,0.485132339970964,0.0629674757770907
142,"Private",2025,"PWSO",103,10,1.99890373885028,0.38937599462877,0.0388909159167476
145,"Private",1999,"PWSI",121,4,2.69867700362123,0.99966519821816,0.0898510742227434
145,"Private",2007,"NG",30,11,4.09904258570186,1.92530035859341,0.350587163498648
145,"Private",2007,"PWSI",125,31,2.75824822173323,1.2971734493671,0.115869974644238
145,"Private",2008,"NG",28,14,3.31916778203122,1.45722442562481,0.271659774830889
145,"Private",2008,"PWSI",155,44,2.96237152914623,1.37259116971792,0.110711672269638
145,"Private",2009,"NG",41,23,3.69943581703886,2.17595242672951,0.330287425987127
145,"Private",2009,"NORTHEAST",7,4,5.48483272283858,2.43451932615833,0.859049290544639
145,"Private",2009,"PWSI",147,67,2.65516122961437,1.37615483329367,0.111049828222689
145,"Private",2009,"PWSO",24,10,4.92527889606388,1.59475021203462,0.299207302391747
145,"Private",2010,"NG",68,36,3.49780034481694,1.52119566292547,0.184424731511381
145,"Private",2010,"PWSI",122,61,3.00369498453399,1.54090626349001,0.145031748929983
145,"Private",2010,"PWSO",15,5,3.74969447416911,1.31467861961174,0.321656775232118
145,"Private",2011,"NG",59,26,3.39955704476061,1.59853917330988,0.215003549572708
145,"Private",2011,"PWSI",134,64,2.32062612202869,1.04730098346353,0.0922256030854722
145,"Private",2011,"PWSO",17,9,3.01297954604365,1.52474200263346,0.359644240135308
145,"Private",2012,"NG",70,29,3.75056418214174,1.73013666188155,0.208510095921095
145,"Private",2012,"PWSI",158,62,2.86121696603824,1.17845455446719,0.0912613794541085
145,"Private",2012,"PWSO",48,16,3.68143497535231,1.38028133709855,0.200528449689506
145,"Private",2013,"NG",66,30,3.7836867223286,1.7560979355998,0.210917203739068
145,"Private",2013,"PWSI",147,69,2.51230220530155,1.1798433337884,0.0978593575398093
145,"Private",2013,"PWSO",43,17,3.783028284877,1.60309836912803,0.23483212279198
145,"Private",2014,"NG",75,35,3.54889768829766,1.47527457471695,0.166369439578841
145,"Private",2014,"NORTHEAST",9,5,4.28791583262082,2.89224355497496,0.929902759085906
145,"Private",2014,"PWSI",182,71,2.75389954862942,1.32759391897491,0.0966968105513737
145,"Private",2014,"PWSO",47,17,3.52497191762564,1.57631803577021,0.228485295609394
145,"Private",2015,"NG",55,27,3.44860618892056,1.93270676380262,0.263146703719645
145,"Private",2015,"NORTHEAST",11,7,3.66155311333506,1.40252395749169,0.393843481630608
145,"Private",2015,"PWSI",148,56,2.51122528774694,1.32162870637552,0.109577211270546
145,"Private",2015,"PWSO",35,10,4.31996031073565,1.80638055072259,0.297821665080915
145,"Private",2016,"NG",52,27,2.87203760558903,1.5371243530928,0.219103759437421
145,"Private",2016,"NORTHEAST",5,5,3.03057583277747,2.33244538388195,0.935845681985272
145,"Private",2016,"PWSI",37,16,2.84170351103727,1.42039506659228,0.237504697696355
145,"Private",2016,"PWSO",48,12,3.45530676173481,1.20354247710951,0.170872782492383
145,"Private",2017,"NG",20,6,4.24661494455388,1.60548138349612,0.353473278040721
145,"Private",2017,"NORTHEAST",6,4,3.23101148742781,0.888746067779557,0.332512169995817
145,"Private",2017,"PWSI",51,22,2.86874984995079,1.19380196355083,0.163672895558261
145,"Private",2017,"PWSO",18,4,4.1187218627408,2.06159527333798,0.464364288195123
145,"Private",2018,"NG",67,30,3.28302520832053,1.54966239998197,0.184842449957983
145,"Private",2018,"NORTHEAST",6,6,3.43333333333333,1.90122767354851,0.690319182428813
145,"Private",2018,"PWSI",70,35,3.14690250799024,1.62248261661411,0.196534044197978
145,"Private",2018,"PWSO",17,10,3.94164620220984,1.34729348500108,0.322333981596896
145,"Private",2019,"NG",67,31,3.04331209905286,1.859897180774,0.223135998654386
145,"Private",2019,"NORTHEAST",9,7,3.77249605710818,1.4836759243763,0.46354057369091
145,"Private",2019,"PWSI",99,52,2.81188267452684,1.25639184132177,0.119950662162329
145,"Private",2019,"PWSO",38,20,3.5822853070797,1.80105599833207,0.284725067354447
145,"Private",2020,"NG",34,16,4.11176470588235,1.64828004127762,0.274725516413901
145,"Private",2020,"PWSI",34,24,3.10882352941176,1.00735707221657,0.171140422839833
145,"Private",2020,"PWSO",16,5,3.63125,1.60029945114448,0.390605354561048
145,"Private",2021,"NG",23,11,3.62331226190746,1.79429544146519,0.361296928788432
