YEAR,CFMU,Assemblage,USER,RelCat,avg_WtKg,SE_WtKg,var_WtKg,P_Rel,PcatSurface,PcatDRM,Mort_rate
2001,NG,Black,Charter,1,2.239130435,0.154092925,0.546126482,0.546539379,1,0,0.082179793
2010,NG,Black,Charter,3,2.439344262,0.056480305,0.389183038,0.052505967,1,0,0.082179793
2010,NG,Black,Charter,4,2.439344262,0.056480305,0.389183038,0.023070804,1,0,0.082179793
2010,NG,Black,Charter,2,2.439344262,0.056480305,0.389183038,0.37788385,1,0,0.082179793
2010,NG,Black,Charter,1,2.439344262,0.056480305,0.389183038,0.546539379,1,0,0.082179793
2002,NG,Black,Charter,3,2.295833333,0.045769716,0.301660839,0.052505967,1,0,0.082179793
2002,NG,Black,Charter,4,2.295833333,0.045769716,0.301660839,0.023070804,1,0,0.082179793
2002,NG,Black,Charter,2,2.295833333,0.045769716,0.301660839,0.37788385,1,0,0.082179793
2002,NG,Black,Charter,1,2.295833333,0.045769716,0.301660839,0.546539379,1,0,0.082179793
1994,NG,Black,Charter,3,1.684466019,0.047149011,0.228972016,0.052505967,1,0,0.082179793
1994,NG,Black,Charter,4,1.684466019,0.047149011,0.228972016,0.023070804,1,0,0.082179793
1994,NG,Black,Charter,2,1.684466019,0.047149011,0.228972016,0.37788385,1,0,0.082179793
1994,NG,Black,Charter,1,1.684466019,0.047149011,0.228972016,0.546539379,1,0,0.082179793
1995,NG,Black,Charter,3,1.852066116,0.0427063,0.220683196,0.052505967,1,0,0.082179793
1995,NG,Black,Charter,4,1.852066116,0.0427063,0.220683196,0.023070804,1,0,0.082179793
1995,NG,Black,Charter,2,1.852066116,0.0427063,0.220683196,0.37788385,1,0,0.082179793
1995,NG,Black,Charter,1,1.852066116,0.0427063,0.220683196,0.546539379,1,0,0.082179793
2005,NG,Black,Charter,3,2.104779412,0.036570732,0.363777811,0.052505967,1,0,0.082179793
2005,NG,Black,Charter,4,2.104779412,0.036570732,0.363777811,0.023070804,1,0,0.082179793
2005,NG,Black,Charter,2,2.104779412,0.036570732,0.363777811,0.37788385,1,0,0.082179793
2005,NG,Black,Charter,1,2.104779412,0.036570732,0.363777811,0.546539379,1,0,0.082179793
2019,NG,Black,Charter,3,1.791187739,0.050728517,0.671652815,0.052505967,0.333333333,0.666666667,0.067250202
2019,NG,Black,Charter,4,1.791187739,0.050728517,0.671652815,0.023070804,0.103448276,0.896551724,0.066823255
2019,NG,Black,Charter,2,1.791187739,0.050728517,0.671652815,0.37788385,0.911578947,0.088421053,0.043465388
2019,NG,Black,Charter,1,1.791187739,0.050728517,0.671652815,0.546539379,0.959243086,0.040756914,0
2023,NG,Black,Charter,3,1.452,0.039685863,0.196870968,0.052505967,0.333333333,0.666666667,0.067250202
2023,NG,Black,Charter,4,1.452,0.039685863,0.196870968,0.023070804,0.103448276,0.896551724,0.066823255
2023,NG,Black,Charter,2,1.452,0.039685863,0.196870968,0.37788385,0.911578947,0.088421053,0.043465388
2023,NG,Black,Charter,1,1.452,0.039685863,0.196870968,0.546539379,0.959243086,0.040756914,0
2009,NG,Black,Charter,3,2.322105263,0.050568244,0.485857978,0.052505967,1,0,0.082179793
2009,NG,Black,Charter,4,2.322105263,0.050568244,0.485857978,0.023070804,1,0,0.082179793
2009,NG,Black,Charter,2,2.322105263,0.050568244,0.485857978,0.37788385,1,0,0.082179793
2009,NG,Black,Charter,1,2.322105263,0.050568244,0.485857978,0.546539379,1,0,0.082179793
2016,NG,Black,Charter,3,2.105521472,0.046730987,0.355956979,0.052505967,0.333333333,0.666666667,0.067250202
2016,NG,Black,Charter,4,2.105521472,0.046730987,0.355956979,0.023070804,0.103448276,0.896551724,0.066823255
2016,NG,Black,Charter,2,2.105521472,0.046730987,0.355956979,0.37788385,0.911578947,0.088421053,0.043465388
2016,NG,Black,Charter,1,2.105521472,0.046730987,0.355956979,0.546539379,0.959243086,0.040756914,0
2000,NG,Black,Charter,3,1.887142857,0.058868609,0.242585921,0.052505967,1,0,0.082179793
2000,NG,Black,Charter,4,1.887142857,0.058868609,0.242585921,0.023070804,1,0,0.082179793
2000,NG,Black,Charter,2,1.887142857,0.058868609,0.242585921,0.37788385,1,0,0.082179793
2000,NG,Black,Charter,1,1.887142857,0.058868609,0.242585921,0.546539379,1,0,0.082179793
2017,NG,Black,Charter,3,1.683333333,0.343915364,0.709666667,0.052505967,0.333333333,0.666666667,0.067250202
2017,NG,Black,Charter,4,1.683333333,0.343915364,0.709666667,0.023070804,0.103448276,0.896551724,0.066823255
2017,NG,Black,Charter,2,1.683333333,0.343915364,0.709666667,0.37788385,0.911578947,0.088421053,0.043465388
2017,NG,Black,Charter,1,1.683333333,0.343915364,0.709666667,0.546539379,0.959243086,0.040756914,0
2021,NG,Black,Charter,3,1.406642066,0.035057508,0.333066831,0.052505967,0.333333333,0.666666667,0.067250202
2021,NG,Black,Charter,4,1.406642066,0.035057508,0.333066831,0.023070804,0.103448276,0.896551724,0.066823255
